FirstKnock Build vs Buy Decision Matrix,,,,,,,,,,,,,
FirstKnock Sales OS | D2D Field Intelligence Platform | Early Traction Stage — Lean Technical Team,,,,,,,,,,,,,
,,,,,,,,,,,,,
Stack Layer,Use Case,Open Source Option,Commercial Option,Open Source Cost,Commercial Cost/mo,Integration Complexity (1-5),Maintenance Burden (1-5),FirstKnock Fit Score (1-10),Recommended Choice,Notes,,Recommendation Type,Count
Data & Prospecting,Route Optimization,VROOM / Valhalla / Nextroute,Google Maps Routes API,$0 (self-hosted),$200–$500 (usage-based),4,4,7,Commercial (Google Maps Routes API),"Google Maps Routes API offers battle-tested reliability, mobile SDK support, and real-time traffic. VROOM/Valhalla require DevOps overhead that a lean team can't afford. At early traction, pay for reliability. Revisit OSS at scale.",,Open Source,5
Cold Outreach Engine,Cold Email Sequencing,ColdFlow / OutreachStudio,Instantly.ai,$0 (self-hosted),$37–$97,3,3,9,Commercial (Instantly.ai),"Instantly.ai has built-in deliverability warmup, inbox rotation, and analytics. ColdFlow/OutreachStudio are immature with sparse documentation. For a GTM-critical function, Instantly.ai's $37/mo is a no-brainer. High fit score — core to the outreach engine.",,Commercial,9
Cold Outreach Engine,Email Sending Infrastructure,Self-hosted (Postal / Mailcow),SendGrid / Mailgun,$0 + VPS ~$20/mo,$20–$90,4,5,6,Commercial (Mailgun),"Self-hosted email (Postal/Mailcow) is a deliverability nightmare — IP warming, blacklist monitoring, DNS config. Mailgun offers pay-as-you-go pricing with strong API. Use Mailgun for transactional; Instantly.ai handles cold outreach sending. Don't self-host email at this stage.",,,
Data & Prospecting,Lead Enrichment & Prospecting,Apollo Free Tier,Clay.com,$0 (limited),$149–$800,2,1,8,Commercial (Clay.com),"Clay.com is the enrichment layer that ties everything together — waterfall enrichment, n8n-compatible webhooks, and homeowner data overlays. Apollo free tier caps at 50 exports/mo. For D2D prospecting at scale, Clay's enrichment ROI justifies cost. Start with Apollo free, upgrade to Clay at $149/mo when volume demands it.",,,
CRM & Pipeline,CRM & Pipeline Management,Twenty.com (open source),Close.io,$0 (self-hosted),$49–$99/user,3,3,9,Commercial (Close.io),"Close.io is purpose-built for outbound sales teams — built-in power dialer, SMS, email sequences, and webhook triggers for n8n automation. Twenty.com is promising but lacks mobile-first D2D features. Close.io's webhook → n8n pipeline is the backbone of the Wins→Social automation layer. Worth every dollar.",,,
Content Production,AI Video Script Generation,Local LLM (Ollama / Llama 3),GPT-4 API (OpenAI),$0 + GPU/VPS cost,$20–$100 (usage),3,3,8,Commercial (GPT-4 API),"GPT-4 API produces dramatically better sales scripts, hooks, and CTAs than local LLMs at current capability levels. Ollama requires GPU infrastructure and prompt engineering overhead. At $0.03/1K tokens, script generation costs pennies. Use GPT-4 API via n8n for automated script generation triggered by closed deals.",,,
Content Production,AI Voiceover,Coqui TTS,ElevenLabs,$0 (self-hosted),$22–$99,3,3,7,Commercial (ElevenLabs),ElevenLabs voice quality is miles ahead of Coqui TTS for sales content. Coqui sounds robotic — kills credibility in social proof videos. ElevenLabs at $22/mo for 30K chars is sufficient for early traction content volume. Clone a top rep's voice for authentic D2D testimonial videos. High brand impact.,,,
Content Production,AI Avatar / Talking Head Video,SadTalker (open source),HeyGen,$0 + GPU required,$29–$89,4,4,7,Commercial (HeyGen),"SadTalker requires CUDA GPU, complex setup, and produces inconsistent results. HeyGen delivers polished avatar videos with API access for automation. At $29/mo, HeyGen enables automated win-announcement videos triggered by Close.io webhooks via n8n. The automation ROI alone justifies the cost.",,,
Content Production,Video Editing & Captions,FFmpeg + Whisper (self-hosted),CapCut AI,$0,$0–$15,3,2,9,Open Source (FFmpeg + Whisper),"FFmpeg + Whisper is a powerhouse combo for automated video processing — trim, caption, watermark, export. Fully scriptable via n8n. CapCut AI is great for manual editing but can't be automated. For a content pipeline that auto-generates videos from closed deals, FFmpeg + Whisper is the only choice. Zero cost, maximum control.",,,
Content Production,Social Media Scheduling,Mixpost (self-hosted),Buffer,$0 + VPS ~$10/mo,$6–$12,2,2,8,Open Source (Mixpost),"Mixpost is a mature, self-hosted social scheduler with API support — perfect for n8n automation triggers. Buffer is fine but adds another SaaS dependency. Mixpost on a $10/mo VPS gives full API control for the automated content pipeline. Strong fit for the Wins→Social automation layer.",,,
Cold Outreach Engine,LinkedIn Outreach Automation,OpenOutreach (self-hosted),Expandi / Dux-Soup,$0,$39–$99,4,4,6,Commercial (Expandi),LinkedIn automation carries account ban risk regardless of tool. Expandi has better safety limits and cloud-based operation (no browser extension). OpenOutreach is immature with limited safety controls. Use Expandi conservatively for manager/owner prospecting in Pest Control and Smart Home verticals. Not a primary channel — supplement to email.,,,
Workflow Automation,Workflow Automation,n8n self-hosted,n8n Cloud / Zapier / Make,$0 + VPS ~$20/mo,$20–$50 (n8n Cloud) / $20–$100 (Zapier),3,2,10,Open Source (n8n self-hosted),"n8n self-hosted is the central nervous system of the entire FirstKnock stack. Explicitly preferred over Zapier. Self-hosted on a $20/mo VPS gives unlimited executions, full code nodes, and zero per-task pricing. The Close.io → n8n → GPT-4 → HeyGen → Buffer pipeline is the crown jewel automation. Never use Zapier — cost scales badly and lacks code flexibility.",,,
Ad Retargeting,Ad Retargeting Management,Manual Meta/Google Ads Manager,Madgicx / Revealbot,$0 (manual),$49–$199,2,3,6,Open Source (Manual Meta/Google),"At early traction stage, ad spend is low and manual management via Meta/Google native dashboards is sufficient. Madgicx/Revealbot add value at $10K+/mo ad spend. Use n8n to auto-push closed-deal customer lists to Meta Custom Audiences via API — this is the high-value automation, not a management platform. Revisit at scale.",,,
Content Ops,Content Ops Management,Notion (free tier),Airtable / Linear,$0,$10–$20/user,2,1,8,Commercial (Airtable),"Airtable is the content ops backbone — structured database for tracking video production, post scheduling, and campaign status. Notion is great for docs but weak for relational data. Airtable's API integrates cleanly with n8n for automated content pipeline tracking. Linear is overkill (engineering PM tool). Airtable at $10/user/mo is the right call.",,,
,,,,,,,,,,,,,
LEGEND: Integration Complexity & Maintenance Burden: 1 = Low / Easy   |   5 = High / Complex     |     Fit Score: 1–5 = Poor Fit   |   6–7 = Moderate Fit   |   8–10 = Strong Fit,,,,,,,,,,,,,
Recommended Choice Color Code:    Green = Open Source Recommended   |    Blue = Commercial Recommended,,,,,,,,,,,,,
FirstKnock Sales OS  |  Confidential  |  April 2026,,,,,,,,,,,,,
