Week,Day,Date,Platform,Content Type,Vertical Focus,Hook Line,Video Concept Summary,On-Screen Text,Caption,Hashtags,CTA,Production Notes,AI Tools to Use,Status
1,Monday,"April 7, 2026",TikTok,POV,Pest Control,POV: You just knocked 47 doors and closed 6. Here's exactly how.,"Rep walks through a neighborhood in the morning, opens FirstKnock app on phone. Camera shows the map with verified recently-sold homes highlighted. Rep narrates how they skip every rental and non-decision-maker door, hitting only the gold pins. Ends with a close notification sound and a thumbs up.","""47 doors. 6 closes. No guessing."" / ""Only knocking homes that JUST changed hands"" / ""Pest Control reps — this is your unfair advantage""",Stop knocking random doors like it's 2010. ⚡ FirstKnock shows you EXACTLY which homes just sold — new homeowners are 3x more likely to buy pest control. This is what precision targeting looks like in the field.  #D2DSales,#D2DSales #PestControl #DoorToDoor #FieldSales #SalesLife #FirstKnock #SalesRep #HustleCulture #CloseMoreDeals #SalesTech #NewHomeowner #GrindSeason,Link in bio to book a demo,Real Person (rep in field) + Screen Recording of app overlaid. Vertical 9:16. 30-45 seconds. Rep should wear branded shirt if possible.,"CapCut AI (auto-captions + transitions), Opus Clip (repurpose longer footage), ElevenLabs (voiceover if needed)",Not Started
1,Tuesday,"April 8, 2026",Instagram Reels,Before/After Skit,Smart Home Security,"Old D2D: knock 200 doors, get 2 sales. New D2D: knock 30, close 8. The difference? ","Split-screen skit. Left side shows a rep sweating, knocking random doors, getting slammed in the face, looking exhausted. Right side shows a FirstKnock rep calmly opening the app, walking directly to highlighted doors, smiling at closes. Text overlays contrast the two approaches. Ends on the FirstKnock logo with ""Work smarter. Close harder.""","""WITHOUT FirstKnock: 200 doors "" / ""WITH FirstKnock: 30 doors "" / ""Every door = verified new homeowner"" / ""Smart Home Security reps — stop wasting steps""",The spray-and-pray era is DEAD.  Smart Home Security reps using FirstKnock are hitting verified new homeowners who literally just moved in and need an alarm system. Less walking. More closing. This is the evolution of D2D. ,#SmartHomeSecurity #D2DSales #DoorToDoor #SalesHacks #CloserMindset #FirstKnock #AlarmSales #SalesTips #FieldSales #WorkSmarterNotHarder #SecuritySales #SalesMotivation,"Comment ""DEMO"" and we'll DM you a link",Two real people OR one person filmed twice for split-screen. AI Avatar (HeyGen) acceptable for one side. CapCut split-screen template. 30 seconds max.,"HeyGen (AI avatar for one side of split screen), CapCut AI (split-screen template + text animations), Claude (caption refinement)",Not Started
1,Wednesday,"April 9, 2026",Both,Tech Flex (Screen Recording),Both,This map tells you which doors to knock before you leave your car. ️,"Pure screen recording of the FirstKnock app. Manager draws a territory on the map, system instantly generates an optimized walking route. Camera zooms into the gold pins (verified sold homes), shows the route snapping into place. Voiceover explains each step. Ends with ""If it's on the map, it just changed hands.""","""Step 1: Draw your territory"" / ""Step 2: Route auto-generates"" / ""Step 3: Only knock verified sold homes"" / ""Pest Control ✅ Security ✅ Any D2D vertical ✅""",Your reps should never wonder which door to knock next. 樂 FirstKnock's route engine pulls verified recently-sold homes and builds the optimal walking path — automatically. This is what $10K/month reps have that $2K/month reps don't. ,#SalesTech #D2DSales #RouteOptimization #FirstKnock #DoorToDoor #SalesManager #FieldSales #PestControl #SmartHomeSecurity #SalesLeadership #TechForSales #CloserTools,Link in bio — see the full demo,Screen Recording only (iPhone or desktop). Add zoom animations and highlight circles in CapCut. Voiceover via ElevenLabs. No real person required. 45-60 seconds.,"ElevenLabs (professional voiceover), CapCut AI (zoom effects, highlight animations, auto-captions), Opus Clip (cut down for multiple formats)",Not Started
1,Thursday,"April 10, 2026",TikTok,Talking Head / Hot Take,Pest Control,Your pest control reps are losing $50K a year knocking the wrong doors. I'll prove it.,"Founder or manager-style talking head to camera, aggressive and direct. Breaks down the math: average rep knocks 80 doors/day, 60% are rentals or non-decision-makers. That's 48 wasted doors daily. At a $400 average ticket, that's thousands in missed revenue per week. Pivots to FirstKnock as the fix. High energy, fast cuts, text reinforcing every stat.","""80 doors/day"" / ""60% = wrong doors ️"" / ""48 wasted knocks DAILY"" / ""FirstKnock eliminates the waste"" / ""Pest Control managers — watch this""","The math doesn't lie and it's brutal.  Your pest control reps are burning hours on rentals, non-owners, and doors that will never convert. FirstKnock filters all of that out before they leave the truck. Stop bleeding revenue. Start targeting. ",#PestControl #SalesManager #D2DSales #SalesLeadership #DoorToDoor #FirstKnock #SalesTips #RevenueGrowth #FieldSales #SalesCoach #PestControlBusiness #CloserMindset,"DM us ""MATH"" for a free ROI breakdown","Real Person (founder or manager) talking head. Ring light, dark background preferred (matches brand aesthetic). Fast cuts every 3-4 seconds. Teleprompter or bullet points off-camera. 45-60 seconds.","CapCut AI (auto-captions, fast cuts, text animations), Claude (script writing), Opus Clip (repurpose into shorter clips)",Not Started
1,Friday,"April 11, 2026",Instagram Reels,Rep Wins,Smart Home Security,He knocked 22 doors on a Tuesday and closed 5 alarm systems. Here's the breakdown.,"Dramatized rep win story. Rep walks through their day using FirstKnock — shows the morning route load, the specific doors knocked (all verified new homeowners), and the close moments. Uses text overlays to show the stats in real time. Ends with the rep's earnings for the day on screen. Aspirational and motivating.","""22 doors knocked"" / ""5 alarm system closes "" / ""Average ticket: $1,200"" / ""Day total: $6,000 in contracts"" / ""All doors = verified new homeowners via FirstKnock""","New homeowners are the PERFECT alarm system customer — they just moved in, they don't know the neighborhood yet, and they want to protect their investment.  FirstKnock puts our reps in front of them on day one. This is how you stack $6K days. ",#SmartHomeSecurity #AlarmSales #D2DSales #RepWins #SalesLife #FirstKnock #DoorToDoor #CloserLife #SecuritySales #SalesMotivation #FieldSales #HustleCulture,Link in bio — get your team on FirstKnock,Real Person (rep) OR AI Avatar (HeyGen) for dramatization. B-roll of walking neighborhood + app screen recording. Text stat overlays are key. 30-45 seconds.,"HeyGen (AI avatar rep character), ElevenLabs (voiceover), CapCut AI (stat text animations, transitions), Claude (story scripting)",Not Started
2,Monday,"April 14, 2026",Both,Manager POV,Both,This is what managing a D2D team looks like when you have real-time field intelligence. ,"Manager sits at a laptop/tablet showing the FirstKnock Command Center. Screen recording shows the Uber-style dispatch screen — reps as dots on the map, ranked by performance and proximity. Manager narrates how they reassign territories in real time, spot underperformers, and push top reps to the hottest zones. Ends with ""Your competition is still using spreadsheets.""","""Real-time rep tracking "" / ""Performance rankings — live"" / ""Reassign territories in seconds"" / ""This is the Command Center"" / ""Your competition uses spreadsheets ""","Managing a D2D team blind is like coaching a game without a scoreboard.  FirstKnock's Command Center shows you every rep, every door, every close — in real time. Pest Control and Security managers: this is the unfair advantage your team needs. ",#SalesManager #D2DSales #FieldSales #SalesLeadership #FirstKnock #DoorToDoor #TeamManagement #SalesTech #PestControl #SmartHomeSecurity #CommandCenter #SalesOps,Book a manager demo — link in bio,Real Person (manager) at desk + Screen Recording of Command Center overlaid. Picture-in-picture format. 45-60 seconds. Dark mode screen preferred.,"CapCut AI (PiP layout, text overlays, transitions), ElevenLabs (voiceover option), Opus Clip (repurpose)",Not Started
2,Tuesday,"April 15, 2026",TikTok,POV,Pest Control,"POV: It's 8am, you loaded your route, and every single door is a new homeowner. Let's go. ","First-person POV video starting in the car. Rep opens FirstKnock, loads the morning route for a pest control territory. Camera follows the rep walking to the first door — gold pin on the map. Rep knocks, homeowner answers, rep delivers a tight pest control pitch referencing the new home. Quick cuts to 3 more doors. Ends with a close and a fist pump.","""8:04am — Route loaded ✅"" / ""12 verified new homeowners in 0.3 miles"" / ""Door 1: Moved in 3 weeks ago "" / ""Door 4: SOLD "" / ""Pest Control. Precision. FirstKnock.""","The morning routine just got an upgrade. ☀️ Load your FirstKnock route, walk to verified new homeowners, pitch pest control to people who literally just moved into a house that needs it. This is D2D in 2026.  Are you still knocking random doors?",#PestControl #D2DSales #MorningRoutine #DoorToDoor #SalesLife #FirstKnock #FieldSales #HustleCulture #PestControlSales #GrindSeason #CloserMindset #SalesRep,Comment your city — we'll show you the data,Real Person (rep) POV camera (chest mount or selfie angle). Actual neighborhood footage. App screen recording spliced in. 30-45 seconds. Energetic music bed.,"CapCut AI (POV text overlays, music sync, auto-captions), Opus Clip (highlight reel cuts)",Not Started
2,Wednesday,"April 16, 2026",Instagram Reels,Talking Head / Hot Take,Smart Home Security,The #1 reason your security reps quit isn't the rejection. It's the wasted steps.,"Talking head video addressing security sales managers directly. Speaker argues that rep burnout in alarm sales comes from knocking 150 doors to get 2 yeses — not from rejection itself, but from the futility of random knocking. Introduces FirstKnock as the morale fix: when every door is a qualified prospect, reps stay motivated. Ends with a challenge to managers.","""Rep burnout = wasted steps, not rejection"" / ""150 random doors → 2 closes "" / ""30 verified doors → 6 closes "" / ""Fix the targeting. Fix the retention."" / ""Security managers — this one's for you""",Your best security reps aren't quitting because of rejection. They're quitting because they're walking miles to knock doors that will never convert.  Fix the targeting and you fix the retention. FirstKnock puts your reps in front of verified new homeowners — the highest-intent buyers in the market. ,#SmartHomeSecurity #AlarmSales #SalesManager #D2DSales #RepRetention #FirstKnock #DoorToDoor #SalesLeadership #SecuritySales #SalesTips #FieldSales #SalesCoach,"DM ""RETENTION"" for our free rep retention guide","Real Person (manager or founder) talking head. Clean background or dark aesthetic. Fast cuts, direct eye contact. 45-60 seconds. Subtitle every word.","CapCut AI (auto-captions, fast cuts), Claude (script), HeyGen (AI avatar alternative if no real person available)",Not Started
2,Thursday,"April 17, 2026",Both,Tech Flex (Screen Recording),Pest Control,Watch this app filter out 60% of bad doors in under 10 seconds. 勞,"Screen recording demo focused on the property validation pipeline. Shows raw property data coming in, then the algorithmic filters running — rentals flagged and removed, non-decision-makers filtered out, low-value doors eliminated. What remains is a clean map of verified sold homes. Voiceover explains each filter step. Pest control context throughout.","""Raw data: 847 properties"" / ""Filtering rentals... ❌"" / ""Filtering non-owners... ❌"" / ""Verified sold homes: 312 ✅"" / ""Every pin = new homeowner who needs pest control""","Not all doors are created equal.  FirstKnock's validation pipeline runs RentCast + BatchData verification on every property — filtering out rentals, non-decision-makers, and low-value doors before your pest control reps ever leave the office. 312 gold doors out of 847. That's the edge. ",#PestControl #SalesTech #D2DSales #DataDriven #FirstKnock #DoorToDoor #PropertyData #FieldSales #PestControlBusiness #SalesTools #LeadQuality #CloserTools,Link in bio — see the full validation demo,Screen Recording only. Zoom animations on filter steps. Use red X and green checkmark animations. Voiceover via ElevenLabs. 45-60 seconds.,"ElevenLabs (voiceover), CapCut AI (zoom, X/checkmark animations, text overlays), Claude (voiceover script)",Not Started
2,Friday,"April 18, 2026",TikTok,Rep Wins,Smart Home Security,She was new. 3 weeks in. Used FirstKnock and hit $18K her first full month. ,"Dramatized new rep success story for smart home security. Shows a new rep (nervous, first week) being handed FirstKnock by their manager. Fast-forward montage of them using the app, knocking verified doors, getting yeses. Stats build on screen week by week. Ends with the rep's month-1 commission check reveal. Aspirational and emotional.","""Week 1: Learning the app "" / ""Week 2: First 3 closes "" / ""Week 3: 11 alarm systems sold"" / ""Month 1 total: $18,400 in contracts "" / ""Powered by FirstKnock""","New reps succeed faster when they're not wasting time on bad doors.  FirstKnock gave her a verified route of new homeowners on day one — no guessing, no wasted steps. Just qualified prospects who just moved in and need a security system. Month 1: $18K.  This is the new rep playbook.",#SmartHomeSecurity #NewRep #D2DSales #SalesSuccess #FirstKnock #AlarmSales #DoorToDoor #RepWins #SalesMotivation #SecuritySales #CloserLife #HustleCulture,Link in bio — onboard your team today,Real Person OR HeyGen AI Avatar. Montage style with stat overlays. Emotional music arc (nervous → triumphant). 30-45 seconds.,"HeyGen (AI avatar for rep character), ElevenLabs (voiceover), CapCut AI (montage transitions, stat counters, music sync)",Not Started
